014,005,8,,14Bxi,40728,20,17065,29,RQ,4.15,zs,1.9,0+      T=3,,MMC162j,2001,IT ?
014,006,0,,14C,3019.893,0.004,,,,5.7,ky,0.03,0+,1,,1936,B-=100
014,006,8,W,14Cxi,25120,100,22100,100,,,,,(2-)    T=2,1,,1989,IT=100
014,007,0,,14N,2863.4167,0.0001,,,,stbl,,,1+,1,,1920,IS=99.636 20
014,007,8,W,14Nxi,5176.007,0.01,2312.59,0.01,,,,,0+      T=1,1,01Ba06e,1963,IT=100
014,008,0,,14O,8007.781,0.025,,,,70.62,s,0.013,0+,1,13La23t,1949,B+=100
014,009,0,,14F,31960,40,,,,500,ys,60,-2,14,10Go16tj,2010,p ?
015,004,0,,15Be,49830,170,,,,790,ys,270,(5/2+),15,13Sn02td,2013,n=100
015,005,0,,15B,28958,21,,,,9.93,ms,0.07,3/2-,2,95Re.Ad,1966,B-=100;B-n=93.6 12;B-2n=0.4 2
015,006,0,,15C,9873.1,0.8,,,,2.449,s,0.005,1/2+,2,,1950,B-=100
015,007,0,,15N,101.4387,0.0006,,,,stbl,,,1/2-,2,,1929,IS=0.364 20
015,007,8,,15Nxi,11717,4,11615,4,RQ,,,,1/2+    T=3/2,2,,,n ?;p ?;IT=0.00523 19
015,008,0,,15O,2855.6,0.5,,,,122.24,s,0.16,1/2-,2,,1934,B+=100
015,008,8,W,15Oxi,14020#,40#,11165#,35#,,,,,(1/2+)  T=3/2,2,Imme  e,,p=100
015,009,0,,15F,16567,14,,,,1.1,zs,0.3,1/2+,2,04Go15j,1978,p=100
015,010,0,,15Ne,40220,70,,,2p,770,ys,300,(3/2-),14,14Wa09jd,2014,2p=100
016,004,0,,16Be,57450,170,,,,650,ys,130,0+,15,12Sp02td,2012,2n=100
016,005,0,,16B,37113,25,,,,>4.6,zs,,0-#,16,,2000,n ?
016,006,0,,16C,13694,4,,,,747,ms,8,0+,99,89Re.Ad,1961,B-=100;B-n=97.9 23
016,007,0,,16N,5683.9,2.3,,,,7.13,s,0.02,-2,99,16Re01d,1933,B-=100;B-A=0.00145 8
016,007,1,W,16Nxm,5804.3,2.3,120.42,0.12,,5.25,us,0.06,0-      T=1,99,14Si.Ad,1957,IT~100;B-=0.00040 4
016,007,8,,16Nxi,15613,7,9929,7,RQ,,,,0+      T=2,99,,,
016,008,0,,16O,-4737.0013,0.0001,,,,stbl,,,0+,99,,1919,IS=99.757 16
016,008,8,,16Oxi,8059,4,12796,4,RQ,,,,0-      T=1,99,,,IT=100
016,008,9,,16Oxj,17984,4,22721,4,RQ,,,,0+      T=2,99,,,
016,009,0,,16F,10680,8,,,,11,zs,6,0,99,,1964,p=100
016,010,0,,16Ne,23987,20,,,,>5.7,zs,,0+,99,14Br19t,1977,2p=100
017,005,0,,17B,43720,200,,,,5.08,ms,0.05,(3/2-),99,88Du09d,1973,B-=100;B-n=63 1;B-2n=11 7;B-3n=3.5 7;B-4n=0.4 3
017,006,0,,17C,21032,17,,,,193,ms,5,(3/2+),99,01Ma08j,1968,B-=100;B-n=28.4 13;B-2n ?
017,007,0,,17N,7870,15,,,,4.173,s,0.004,1/2-,99,94Do08d,1949,B-=100;B-n=95 1;B-A=0.0025 4
017,008,0,,17O,-808.7635,0.0007,,,,stbl,,,5/2+,99,,1925,IS=0.038 1
017,008,8,,17Oxi,10270.02,0.17,11078.78,0.17,RQ,,,,1/2-    T=3/2,99,,,B- ?;N ?;IT=0.42 14
017,009,0,,17F,1951.7,0.25,,,,64.37,s,0.027,5/2+,99,16Br01t,1934,B+=100
017,009,8,,17Fxi,13144.7,1.9,11193,1.9,RQ,,,,1/2-    T=3/2,99,,,
017,010,0,,17Ne,16500.4,0.4,,,,109.2,ms,0.6,1/2-,99,88Bo39d,1963,B+=100;B+p=96.0 9;B+A=2.7 9
017,011,0,,17Na,35170,1000,,,,,,,3/2+#,,,,p ?
018,005,0,,18B,51790,200,,,,<26,ns,,(2-),16,,2010,n ?
018,006,0,,18C,24920,30,,,,92,ms,2,0+,96,,1969,B-=100;B-n=31.5 15;B-2n ?
018,007,0,,18N,13113,19,,,,619.2,ms,1.9,-1,96,05Li60td,1964,B-=100;B-n=7.0 15;B-A=12.2 6;B-2n ?
018,008,0,,18O,-782.8156,0.0007,,,,stbl,,,0+,96,,1929,IS=0.205 14
018,008,8,W,18Oxi,15495,20,16278,20,,,,,1-      T=2,,AHW   e,,
018,009,0,,18F,873.1,0.5,,,,109.739,m,0.009,1+,96,14Un01t,1937,B+=100
018,009,1,W,18Fxm,1994.5,0.5,1121.36,0.15,,162,ns,7,5+,96,,,IT=100
018,009,8,W,18Fxi,1914.7,0.5,1041.55,0.08,,,,,0+      T=1,96,,,IT=100
018,010,0,,18Ne,5317.6,0.4,,,,1664.2,ms,0.47,0+,96,15La19t,1954,B+=100
018,011,0,,18Na,25040,90,,,,1.3,zs,0.4,1-#,15,04Ze05td,2004,p=?
019,005,0,,19B,59770,530,,,,2.92,ms,0.13,3/2-#,96,03Yo02td,1984,B-=100;B-n=71 9;B-2n=17 5;B-3n<9.1
019,006,0,,19C,32410,100,,,,46.2,ms,2.3,(1/2+),96,88Du09td,1974,B-=100;B-n=47 3;B-2n=7 3
019,007,0,,19N,15856,16,,,,336,ms,3,1/2-,96,06Su12tjd,1968,B-=100;B-n=41.8 9
019,008,0,,19O,3332.9,2.6,,,,26.47,s,0.006,5/2+,96,13Uj01t,1936,B-=100
019,009,0,,19F,-1487.4442,0.0009,,,,stbl,,,1/2+,96,,1920,IS=100.
019,009,8,W,19Fxi,6052.2,0.9,7539.6,0.9,,,,,5/2+    T=3/2,96,,,IT=100
019,010,0,,19Ne,1752.05,0.16,,,,17.274,s,0.01,1/2+,96,14Br06t,1939,B+=100
019,010,8,,19Nei,9253,9,7501,9,RQ,,,,(5/2)+  T=3/2,96,MMC127j,,
019,011,0,,19Na,12929,11,,,,>1,as,,(5/2+),15,10Mu12t,1969,p=100
019,012,0,,19Mg,31830,50,,,,5,ps,3,1/2-#,14,09Mu17td,2007,2p=100
020,005,0,,20B,68450#,800#,,,,,,,,,,,n ?;B-n ?;B-2n ?
020,006,0,,20C,37500,230,,,,16,ms,3,0+,98,90Mu06td,1981,B-=100;B-n=70 11;B-2n<18.6
020,007,0,,20N,21770,80,,,,136,ms,3,,98,06Su12td,1969,B-=100;B-n=42.9 14;B-2n ?
020,008,0,,20O,3796.2,0.9,,,,13.51,s,0.05,0+,98,,1959,B-=100
020,009,0,,20F,-17.463,0.03,,,,11.163,s,0.008,2+,98,98Ti06t,1935,B-=100
020,009,8,,20Fxi,6503,3,6521,3,RQ,,,,0+      T=2,98,,,
020,010,0,,20Ne,-7041.9305,0.0016,,,,stbl,,,0+,98,,1913,IS=90.48 3
020,010,8,,20Nei,3230.5,2,10272.5,2,RQ,,,,2+      T=1,98,,,IT=100
020,010,9,,20Nej,9690.9,2.8,16732.8,2.8,RQ,,,,0+      T=2,98,,,IT=100
020,011,0,,20Na,6850.6,1.1,,,,447.9,ms,2.3,2+,98,89Cl02d,1950,B+=100;B+A=25.0 4
020,011,8,,20Nai,13349,1.2,6498.4,0.5,p,,,,0+      T=2,98,,1979,p=100
020,012,0,,20Mg,17477.7,1.9,,,,93,ms,5,0+,16,,1974,B+=100;B+p=30.3 12
021,005,0,,21B,77330#,900#,,,,,,<260ns,3/2-#,4,03Oz01i,,n ?
021,006,0,,21C,45640#,600#,,,,,,<30ns,1/2+#,4,93Po.Ai,,n ?
021,007,0,,21N,25230,130,,,,84,ms,7,(1/2-),15,,1970,B-=100;B-n=90.5 42;B-2n ?
021,008,0,,21O,8062,12,,,,3.42,s,0.1,(5/2+),4,,1968,B-=100;B-n=0#
021,009,0,,21F,-47.6,1.8,,,,4.158,s,0.02,5/2+,4,,1955,B-=100
021,010,0,,21Ne,-5731.78,0.04,,,,stbl,,,3/2+,4,,1928,IS=0.27 1
021,010,8,W,21Nei,3127.4,1.4,8859.2,1.4,,,,T=3/2,"(3/2,5/2)+",4,,,
021,011,0,,21Na,-2184.63,0.1,,,,22.422,s,0.01,3/2+,4,15Gr05t,1940,B+=100
021,011,8,,21Nai,6790,4,8975,4,p,,,,5/2+    T=3/2,4,,,
021,012,0,,21Mg,10903.8,0.8,,,,118.6,ms,0.5,5/2+,4,15Lu13d,1963,B+=100;B+p=32.6 10;B+A=?;B+pA=0.016 3
021,013,0,,21Al,26990#,600#,,,,,,<35ns,5/2+#,4,93Po.Ai,,p ?
022,006,0,,22C,53610,230,,,,6.2,ms,1.3,0+,15,,1986,B-=100;B-n=61 14;B-2n<37
022,007,0,,22N,31760,210,,,,23,ms,3,0-#,15,,1979,B-=100;B-n=34 3;B-2n=12 3
022,008,0,,22O,9280,60,,,,2.25,s,0.09,0+,15,,1969,B-=100;B-n<22
